"account_id","first_paid_at","horizon_at","split_name","days_until_first_paid","total_product_events","product_access_count","locked_attempt_count","feature_used_count","analytics_view_count","other_event_count","websites_created_before_paid","live_websites_at_first_paid","target_m6"
"ACC_000019","2024-06-07 01:20:02+03","2024-12-07 00:20:02+02","TRAIN","96.5487731481481481","25","12","13","0","0","0","0","0",1
"ACC_000012","2024-06-12 14:05:47+03","2024-12-12 13:05:47+02","TRAIN","110.1333333333333333","24","13","8","3","0","0","2","1",1
"ACC_000039","2024-06-17 22:01:38+03","2024-12-17 21:01:38+02","TRAIN","73.4671875000000000","30","19","11","0","0","0","1","0",1
"ACC_000094","2024-06-18 04:43:04+03","2024-12-18 03:43:04+02","TRAIN","20.8690740740740741","13","2","11","0","0","0","0","0",1
"ACC_000065","2024-06-22 05:03:53+03","2024-12-22 04:03:53+02","TRAIN","51.0282638888888889","16","5","11","0","0","0","0","0",1
"ACC_000046","2024-06-28 20:28:09+03","2024-12-28 19:28:09+02","TRAIN","74.6770254629629630","14","7","7","0","0","0","1","0",1
"ACC_000077","2024-07-03 03:10:43+03","2025-01-03 02:10:43+02","TRAIN","51.8359027777777778","26","12","14","0","0","0","0","0",1
"ACC_000062","2024-07-05 11:48:02+03","2025-01-05 10:48:02+02","TRAIN","69.3690625000000000","18","5","13","0","0","0","1","1",1
"ACC_000059","2024-07-09 07:02:40+03","2025-01-09 06:02:40+02","TRAIN","76.4819907407407407","28","13","14","0","1","0","1","1",1
"ACC_000063","2024-07-10 20:30:55+03","2025-01-10 19:30:55+02","TRAIN","73.2171180555555556","17","8","9","0","0","0","0","0",1
"ACC_000036","2024-07-22 04:42:12+03","2025-01-22 03:42:12+02","TRAIN","110.5702083333333333","24","11","13","0","0","0","1","0",1
"ACC_000079","2024-07-22 20:30:12+03","2025-01-22 19:30:12+02","TRAIN","69.0990509259259259","21","7","14","0","0","0","0","0",1
"ACC_000110","2024-07-24 06:44:06+03","2025-01-24 05:44:06+02","TRAIN","37.2616898148148148","17","7","10","0","0","0","0","0",1
"ACC_000078","2024-08-03 16:53:25+03","2025-02-03 15:53:25+02","TRAIN","82.8242245370370370","15","7","8","0","0","0","1","0",1
"ACC_000086","2024-08-06 17:57:02+03","2025-02-06 16:57:02+02","TRAIN","73.0325694444444444","24","12","12","0","0","0","0","0",1
"ACC_000072","2024-08-12 04:09:32+03","2025-02-12 03:09:32+02","TRAIN","96.6595601851851852","23","16","7","0","0","0","0","0",1
"ACC_000141","2024-08-12 12:58:43+03","2025-02-12 11:58:43+02","TRAIN","25.3728587962962963","8","3","5","0","0","0","0","0",1
"ACC_000098","2024-08-14 03:27:29+03","2025-02-14 02:27:29+02","TRAIN","70.7539004629629630","11","3","8","0","0","0","1","0",1
"ACC_000054","2024-08-18 04:18:39+03","2025-02-18 03:18:39+02","TRAIN","116.7819560185185185","12","5","7","0","0","0","2","0",1
"ACC_000080","2024-08-19 02:51:29+03","2025-02-19 01:51:29+02","TRAIN","93.2974652777777778","19","10","9","0","0","0","0","0",1
"ACC_000150","2024-08-21 12:08:24+03","2025-02-21 11:08:24+02","TRAIN","30.0590046296296296","18","5","13","0","0","0","0","0",1
"ACC_000093","2024-08-22 21:55:47+03","2025-02-22 20:55:47+02","TRAIN","90.3595949074074074","30","15","15","0","0","0","0","0",1
"ACC_000172","2024-08-23 19:56:18+03","2025-02-23 18:56:18+02","TRAIN","23.1898148148148148","18","7","11","0","0","0","0","0",1
"ACC_000120","2024-08-23 23:40:17+03","2025-02-23 22:40:17+02","TRAIN","59.1666666666666667","14","7","7","0","0","0","0","0",1
"ACC_000100","2024-08-24 07:11:29+03","2025-02-24 06:11:29+02","TRAIN","78.0125694444444444","23","10","9","1","3","0","1","1",1
"ACC_000130","2024-08-25 05:13:22+03","2025-02-25 04:13:22+02","TRAIN","44.9074421296296296","15","6","9","0","0","0","1","0",1
"ACC_000170","2024-08-25 23:09:59+03","2025-02-25 22:09:59+02","TRAIN","23.7124305555555556","15","4","11","0","0","0","0","0",1
"ACC_000084","2024-08-26 08:31:20+03","2025-02-26 07:31:20+02","TRAIN","97.9837731481481481","20","14","6","0","0","0","0","0",1
"ACC_000085","2024-08-28 02:18:58+03","2025-02-28 01:18:58+02","TRAIN","97.8852893518518519","24","14","10","0","0","0","0","0",1
"ACC_000083","2024-08-29 11:25:57+03","2025-02-28 10:25:57+02","TRAIN","100.0857291666666667","18","7","11","0","0","0","2","1",1
"ACC_000178","2024-09-09 14:22:42+03","2025-03-09 13:22:42+02","TRAIN","37.4038773148148148","15","6","9","0","0","0","0","0",1
"ACC_000198","2024-09-10 00:42:44+03","2025-03-09 23:42:44+02","TRAIN","22.6407291666666667","12","5","7","0","0","0","0","0",1
"ACC_000126","2024-09-11 12:09:17+03","2025-03-11 11:09:17+02","TRAIN","68.0321296296296296","17","7","10","0","0","0","1","0",0
"ACC_000087","2024-09-13 02:33:12+03","2025-03-13 01:33:12+02","TRAIN","111.2398726851851852","25","21","4","0","0","0","1","0",1
"ACC_000202","2024-09-20 17:29:07+03","2025-03-20 16:29:07+02","TRAIN","30.4739583333333333","17","7","10","0","0","0","0","0",1
"ACC_000156","2024-09-20 18:48:30+03","2025-03-20 17:48:30+02","TRAIN","58.9509259259259259","22","11","10","0","1","0","1","1",1
"ACC_000162","2024-09-20 20:19:13+03","2025-03-20 19:19:13+02","TRAIN","56.0056712962962963","22","13","9","0","0","0","1","0",1
"ACC_000190","2024-09-22 19:51:02+03","2025-03-22 18:51:02+02","TRAIN","36.9806828703703704","22","5","17","0","0","0","1","0",1
"ACC_000219","2024-09-23 21:27:07+03","2025-03-23 20:27:07+02","TRAIN","26.7931018518518519","16","4","12","0","0","0","1","0",1
"ACC_000168","2024-09-24 05:22:31+03","2025-03-24 04:22:31+02","TRAIN","52.9354166666666667","18","7","10","0","1","0","1","1",1
"ACC_000102","2024-09-24 07:59:01+03","2025-03-24 06:59:01+02","TRAIN","110.0107986111111111","30","22","8","0","0","0","0","0",1
"ACC_000187","2024-09-26 10:05:26+03","2025-03-26 09:05:26+02","TRAIN","46.1625115740740741","17","4","13","0","0","0","2","2",1
"ACC_000197","2024-09-26 15:29:55+03","2025-03-26 14:29:55+02","TRAIN","39.7815393518518519","20","12","8","0","0","0","0","0",1
"ACC_000142","2024-09-27 11:00:12+03","2025-03-27 10:00:12+02","TRAIN","72.2192129629629630","31","19","12","0","0","0","1","0",1
"ACC_000124","2024-09-30 05:42:20+03","2025-03-30 05:42:20+03","TRAIN","85.0268981481481481","33","17","5","6","1","4","1","1",1
"ACC_000160","2024-09-30 20:20:03+03","2025-03-30 20:20:03+03","TRAIN","65.8183796296296296","18","11","7","0","0","0","1","0",1
"ACC_000233","2024-10-01 07:44:24+03","2025-04-01 07:44:24+03","TRAIN","25.8448148148148148","17","4","13","0","0","0","0","0",1
"ACC_000215","2024-10-03 00:09:17+03","2025-04-03 00:09:17+03","TRAIN","34.4578356481481481","9","4","5","0","0","0","0","0",1
"ACC_000184","2024-10-05 02:08:53+03","2025-04-05 02:08:53+03","TRAIN","57.4924189814814815","23","6","17","0","0","0","0","0",1
"ACC_000138","2024-10-09 05:17:17+03","2025-04-09 05:17:17+03","TRAIN","87.3337037037037037","25","14","11","0","0","0","0","0",1
"ACC_000221","2024-10-10 23:50:24+03","2025-04-10 23:50:24+03","TRAIN","41.8800810185185185","22","9","13","0","0","0","0","0",1
"ACC_000149","2024-10-11 11:29:14+03","2025-04-11 11:29:14+03","TRAIN","80.2634375000000000","29","17","12","0","0","0","1","1",1
"ACC_000143","2024-10-13 09:48:16+03","2025-04-13 09:48:16+03","TRAIN","89.1075578703703704","27","15","12","0","0","0","0","0",1
"ACC_000302","2024-10-15 05:26:14+03","2025-04-15 05:26:14+03","TRAIN","14.3859606481481481","24","13","11","0","0","0","0","0",0
"ACC_000182","2024-10-20 23:03:44+03","2025-04-20 23:03:44+03","TRAIN","72.8405439814814815","22","14","8","0","0","0","0","0",0
"ACC_000295","2024-10-22 04:56:44+03","2025-04-22 04:56:44+03","TRAIN","22.2361689814814815","8","3","5","0","0","0","0","0",1
"ACC_000250","2024-10-23 20:12:33+03","2025-04-23 20:12:33+03","TRAIN","40.7696759259259259","19","6","13","0","0","0","0","0",1
"ACC_000125","2024-10-24 02:14:30+03","2025-04-24 02:14:30+03","TRAIN","107.2701273148148148","29","14","14","0","1","0","1","1",1
"ACC_000235","2024-10-26 05:55:15+03","2025-04-26 05:55:15+03","TRAIN","50.7771180555555556","18","8","10","0","0","0","1","1",0
"ACC_000278","2024-10-28 17:21:42+02","2025-04-28 18:21:42+03","TRAIN","34.1244212962962963","23","9","14","0","0","0","0","0",1
"ACC_000252","2024-10-30 01:17:32+02","2025-04-30 02:17:32+03","TRAIN","44.7694791666666667","11","7","4","0","0","0","0","0",1
"ACC_000216","2024-10-30 10:57:40+02","2025-04-30 11:57:40+03","TRAIN","60.7102662037037037","60","48","12","0","0","0","1","0",0
"ACC_000300","2024-10-31 18:58:53+02","2025-04-30 19:58:53+03","TRAIN","30.9718171296296296","20","10","10","0","0","0","0","0",1
"ACC_000258","2024-11-03 00:03:27+02","2025-05-03 01:03:27+03","TRAIN","49.1646527777777778","32","16","16","0","0","0","1","0",1
"ACC_000146","2024-11-04 07:45:35+02","2025-05-04 08:45:35+03","TRAIN","107.3828009259259259","19","13","6","0","0","0","0","0",1
"ACC_000166","2024-11-05 11:03:28+02","2025-05-05 12:03:28+03","TRAIN","97.4805555555555556","29","13","14","0","2","0","2","1",1
"ACC_000137","2024-11-07 04:21:18+02","2025-05-07 05:21:18+03","TRAIN","113.3060300925925926","29","16","13","0","0","0","2","1",1
"ACC_000354","2024-11-08 15:56:39+02","2025-05-08 16:56:39+03","TRAIN","14.8018287037037037","16","4","12","0","0","0","0","0",1
"ACC_000217","2024-11-09 15:54:19+02","2025-05-09 16:54:19+03","TRAIN","73.8291319444444444","27","14","11","0","2","0","1","1",1
"ACC_000229","2024-11-12 08:20:37+02","2025-05-12 09:20:37+03","TRAIN","70.1820370370370370","18","12","6","0","0","0","1","0",1
"ACC_000341","2024-11-17 03:47:15+02","2025-05-17 04:47:15+03","TRAIN","29.0563310185185185","15","5","10","0","0","0","0","0",1
"ACC_000287","2024-11-19 05:17:00+02","2025-05-19 06:17:00+03","TRAIN","51.8322337962962963","9","5","4","0","0","0","0","0",1
"ACC_000239","2024-11-23 17:35:19+02","2025-05-23 18:35:19+03","TRAIN","77.8677662037037037","26","15","11","0","0","0","0","0",1
"ACC_000231","2024-11-25 08:33:18+02","2025-05-25 09:33:18+03","TRAIN","83.9776967592592593","27","17","10","0","0","0","2","0",1
"ACC_000220","2024-11-27 06:53:59+02","2025-05-27 07:53:59+03","TRAIN","88.8128819444444444","26","14","12","0","0","0","1","0",1
"ACC_000396","2024-11-29 21:24:38+02","2025-05-29 22:24:38+03","TRAIN","15.4566203703703704","13","3","10","0","0","0","0","0",1
"ACC_000179","2024-11-30 11:52:02+02","2025-05-30 12:52:02+03","TRAIN","119.2926504629629630","35","26","9","0","0","0","1","0",1
"ACC_000276","2024-11-30 13:38:18+02","2025-05-30 14:38:18+03","TRAIN","70.0467361111111111","23","13","10","0","0","0","0","0",1
"ACC_000339","2024-12-01 02:25:56+02","2025-06-01 03:25:56+03","TRAIN","40.3239814814814815","28","11","17","0","0","0","0","0",1
"ACC_000311","2024-12-01 07:42:12+02","2025-06-01 08:42:12+03","TRAIN","53.2567939814814815","22","6","16","0","0","0","0","0",0
"ACC_000189","2024-12-01 15:34:37+02","2025-06-01 16:34:37+03","TRAIN","108.8245138888888889","41","19","21","0","1","0","1","1",1
"ACC_000180","2024-12-01 16:15:39+02","2025-06-01 17:15:39+03","TRAIN","117.6829513888888889","27","20","7","0","0","0","0","0",1
"ACC_000365","2024-12-02 23:56:32+02","2025-06-03 00:56:32+03","TRAIN","31.0710532407407407","18","6","12","0","0","0","0","0",0
"ACC_000263","2024-12-04 09:12:44+02","2025-06-04 10:12:44+03","TRAIN","77.8222916666666667","28","13","15","0","0","0","2","1",1
"ACC_000334","2024-12-04 17:21:46+02","2025-06-04 18:21:46+03","TRAIN","50.1980208333333333","13","8","5","0","0","0","0","0",1
"ACC_000305","2024-12-06 00:08:06+02","2025-06-06 01:08:06+03","TRAIN","60.8646990740740741","15","6","9","0","0","0","0","0",1
"ACC_000360","2024-12-09 03:49:33+02","2025-06-09 04:49:33+03","TRAIN","38.7929166666666667","26","15","11","0","0","0","0","0",1
"ACC_000322","2024-12-11 19:41:34+02","2025-06-11 20:41:34+03","TRAIN","62.9637037037037037","17","9","8","0","0","0","0","0",1
"ACC_000414","2024-12-12 17:37:57+02","2025-06-12 18:37:57+03","TRAIN","24.5258333333333333","14","4","10","0","0","0","1","0",1
"ACC_000285","2024-12-15 12:43:38+02","2025-06-15 13:43:38+03","TRAIN","78.0387037037037037","36","17","10","6","3","0","1","1",1
"ACC_000257","2024-12-16 03:33:57+02","2025-06-16 04:33:57+03","TRAIN","90.3710648148148148","65","38","11","10","6","0","1","0",0
"ACC_000249","2024-12-17 16:47:09+02","2025-06-17 17:47:09+03","TRAIN","95.3450462962962963","37","15","15","4","3","0","2","2",1
"ACC_000359","2024-12-20 22:46:11+02","2025-06-20 23:46:11+03","TRAIN","50.5227777777777778","10","1","9","0","0","0","1","0",1
"ACC_000433","2024-12-21 04:26:00+02","2025-06-21 05:26:00+03","TRAIN","23.2014583333333333","9","1","8","0","0","0","0","0",1
"ACC_000246","2024-12-21 12:12:51+02","2025-06-21 13:12:51+03","TRAIN","100.6518171296296296","27","16","9","2","0","0","3","1",0
"ACC_000356","2024-12-21 13:52:25+02","2025-06-21 14:52:25+03","TRAIN","55.3060995370370370","25","12","13","0","0","0","2","0",1
"ACC_000214","2024-12-23 17:50:41+02","2025-06-23 18:50:41+03","TRAIN","115.8936805555555556","33","19","14","0","0","0","0","0",1
"ACC_000388","2024-12-24 12:54:06+02","2025-06-24 13:54:06+03","TRAIN","46.5073263888888889","12","4","8","0","0","0","1","0",1
"ACC_000289","2024-12-24 15:53:34+02","2025-06-24 16:53:34+03","TRAIN","87.8189467592592593","26","14","8","2","2","0","1","0",1
"ACC_000291","2024-12-25 01:05:09+02","2025-06-25 02:05:09+03","TRAIN","90.1978009259259259","16","8","8","0","0","0","1","1",0
"ACC_000296","2024-12-26 17:43:59+02","2025-06-26 18:43:59+03","TRAIN","85.9839120370370370","35","19","6","7","3","0","3","2",1
"ACC_000437","2024-12-28 06:14:00+02","2025-06-28 07:14:00+03","TRAIN","33.4977199074074074","13","5","8","0","0","0","0","0",1
"ACC_000272","2024-12-28 10:34:19+02","2025-06-28 11:34:19+03","TRAIN","101.2532291666666667","25","12","13","0","0","0","2","1",1
"ACC_000274","2024-12-29 13:14:05+02","2025-06-29 14:14:05+03","TRAIN","99.8937847222222222","24","17","7","0","0","0","0","0",1
"ACC_000369","2024-12-30 15:12:44+02","2025-06-30 16:12:44+03","TRAIN","60.7098495370370370","14","9","5","0","0","0","1","0",1
"ACC_000475","2025-01-02 22:35:59+02","2025-07-02 23:35:59+03","VALIDATION","23.3221527777777778","12","6","6","0","0","0","0","0",1
"ACC_000241","2025-01-03 07:21:08+02","2025-07-03 08:21:08+03","VALIDATION","115.5129629629629630","39","30","9","0","0","0","0","0",1
"ACC_000382","2025-01-03 13:12:55+02","2025-07-03 14:12:55+03","VALIDATION","55.7002314814814815","28","10","18","0","0","0","0","0",1
"ACC_000333","2025-01-03 16:50:49+02","2025-07-03 17:50:49+03","VALIDATION","78.2214699074074074","26","18","8","0","0","0","0","0",1
"ACC_000418","2025-01-03 18:17:52+02","2025-07-03 19:17:52+03","VALIDATION","42.9587962962962963","14","9","5","0","0","0","0","0",1
"ACC_000264","2025-01-06 06:36:46+02","2025-07-06 07:36:46+03","VALIDATION","109.1150347222222222","14","9","5","0","0","0","2","0",1
"ACC_000507","2025-01-07 19:46:04+02","2025-07-07 20:46:04+03","VALIDATION","18.6974884259259259","9","5","4","0","0","0","0","0",1
"ACC_000266","2025-01-08 20:20:28+02","2025-07-08 21:20:28+03","VALIDATION","114.2752314814814815","33","20","5","5","3","0","1","1",1
"ACC_000273","2025-01-09 10:06:04+02","2025-07-09 11:06:04+03","VALIDATION","111.8660069444444444","57","28","14","11","4","0","1","1",1
"ACC_000508","2025-01-09 18:46:51+02","2025-07-09 19:46:51+03","VALIDATION","19.9555902777777778","18","9","9","0","0","0","0","0",1
"ACC_000413","2025-01-11 09:04:44+02","2025-07-11 10:04:44+03","VALIDATION","53.1928935185185185","29","12","16","0","1","0","1","1",1
"ACC_000275","2025-01-11 20:50:57+02","2025-07-11 21:50:57+03","VALIDATION","114.1639930555555556","29","20","9","0","0","0","0","0",1
"ACC_000511","2025-01-12 15:37:08+02","2025-07-12 16:37:08+03","VALIDATION","20.9562037037037037","11","1","10","0","0","0","1","0",1
"ACC_000319","2025-01-14 20:14:22+02","2025-07-14 21:14:22+03","VALIDATION","99.6214004629629630","27","24","3","0","0","0","1","0",1
"ACC_000283","2025-01-15 07:29:45+02","2025-07-15 08:29:45+03","VALIDATION","113.5349884259259259","41","31","10","0","0","0","1","0",1
"ACC_000338","2025-01-16 06:35:28+02","2025-07-16 07:35:28+03","VALIDATION","87.8703587962962963","23","16","7","0","0","0","0","0",1
"ACC_000453","2025-01-17 04:30:51+02","2025-07-17 05:30:51+03","VALIDATION","43.1171064814814815","32","22","10","0","0","0","0","0",1
"ACC_000523","2025-01-17 18:19:53+02","2025-07-17 19:19:53+03","VALIDATION","21.1753587962962963","13","4","9","0","0","0","1","0",0
"ACC_000509","2025-01-19 00:48:28+02","2025-07-19 01:48:28+03","VALIDATION","27.6482291666666667","16","4","12","0","0","0","0","0",1
"ACC_000499","2025-01-20 01:35:28+02","2025-07-20 02:35:28+03","VALIDATION","32.2475462962962963","28","16","12","0","0","0","1","0",1
"ACC_000409","2025-01-20 19:11:34+02","2025-07-20 20:11:34+03","VALIDATION","61.6450231481481481","32","13","9","3","3","4","1","1",1
"ACC_000320","2025-01-21 11:34:41+02","2025-07-21 12:34:41+03","VALIDATION","101.8691550925925926","55","22","15","11","7","0","1","1",1
"ACC_000513","2025-01-24 14:34:59+02","2025-07-24 15:34:59+03","VALIDATION","33.3498148148148148","21","11","10","0","0","0","0","0",1
"ACC_000517","2025-01-24 18:31:29+02","2025-07-24 19:31:29+03","VALIDATION","28.1875000000000000","18","8","10","0","0","0","2","0",1
"ACC_000492","2025-01-26 01:02:58+02","2025-07-26 02:02:58+03","VALIDATION","41.5384722222222222","20","6","14","0","0","0","1","1",1
"ACC_000357","2025-01-26 15:46:49+02","2025-07-26 16:46:49+03","VALIDATION","89.7604976851851852","35","15","10","10","0","0","1","1",1
"ACC_000521","2025-01-26 21:35:33+02","2025-07-26 22:35:33+03","VALIDATION","28.8638078703703704","19","10","9","0","0","0","0","0",1
"ACC_000387","2025-01-27 00:28:43+02","2025-07-27 01:28:43+03","VALIDATION","78.3793402777777778","27","16","8","1","2","0","1","1",1
"ACC_000484","2025-01-29 10:52:14+02","2025-07-29 11:52:14+03","VALIDATION","46.5987962962962963","14","7","7","0","0","0","1","0",1
"ACC_000565","2025-01-31 18:05:08+02","2025-07-31 19:05:08+03","VALIDATION","15.5929282407407407","14","4","10","0","0","0","0","0",1
"ACC_000425","2025-01-31 20:22:00+02","2025-07-31 21:22:00+03","VALIDATION","67.3462268518518519","32","15","17","0","0","0","1","0",1
"ACC_000397","2025-02-01 12:35:50+02","2025-08-01 13:35:50+03","VALIDATION","79.8802083333333333","27","16","8","0","3","0","2","2",1
"ACC_000423","2025-02-02 01:43:37+02","2025-08-02 02:43:37+03","VALIDATION","70.0027546296296296","19","7","12","0","0","0","1","0",1
"ACC_000501","2025-02-02 08:59:53+02","2025-08-02 09:59:53+03","VALIDATION","43.2906365740740741","21","8","13","0","0","0","0","0",1
"ACC_000336","2025-02-03 02:13:59+02","2025-08-03 03:13:59+03","VALIDATION","111.3920254629629630","24","18","6","0","0","0","1","1",1
"ACC_000458","2025-02-04 14:43:59+02","2025-08-04 15:43:59+03","VALIDATION","59.3635532407407407","28","19","9","0","0","0","0","0",1
"ACC_000394","2025-02-04 21:24:40+02","2025-08-04 22:24:40+03","VALIDATION","83.8203009259259259","30","13","17","0","0","0","1","0",1
"ACC_000562","2025-02-05 03:54:14+02","2025-08-05 04:54:14+03","VALIDATION","22.0587847222222222","14","6","8","0","0","0","1","0",1
"ACC_000325","2025-02-06 16:52:22+02","2025-08-06 17:52:22+03","VALIDATION","117.1520370370370370","46","25","17","0","4","0","2","2",1
"ACC_000372","2025-02-07 10:05:13+02","2025-08-07 11:05:13+03","VALIDATION","94.0890740740740741","24","15","9","0","0","0","0","0",1
"ACC_000429","2025-02-07 17:46:15+02","2025-08-07 18:46:15+03","VALIDATION","74.0777314814814815","16","7","9","0","0","0","0","0",1
"ACC_000370","2025-02-08 14:07:40+02","2025-08-08 15:07:40+03","VALIDATION","97.6598495370370370","33","22","11","0","0","0","0","0",1
"ACC_000456","2025-02-08 18:05:11+02","2025-08-08 19:05:11+03","VALIDATION","65.8555439814814815","21","13","8","0","0","0","0","0",1
"ACC_000421","2025-02-09 15:21:33+02","2025-08-09 16:21:33+03","VALIDATION","79.6848958333333333","27","19","6","0","2","0","1","1",1
"ACC_000379","2025-02-12 17:29:21+02","2025-08-12 18:29:21+03","VALIDATION","97.8451851851851852","30","17","13","0","0","0","1","0",1
"ACC_000588","2025-02-15 23:18:58+02","2025-08-16 00:18:58+03","VALIDATION","27.5341898148148148","36","25","11","0","0","0","0","0",0
"ACC_000451","2025-02-17 14:46:11+02","2025-08-17 15:46:11+03","VALIDATION","75.6700000000000000","30","12","17","1","0","0","2","1",1
"ACC_000622","2025-02-18 15:54:53+02","2025-08-18 16:54:53+03","VALIDATION","19.0510069444444444","17","6","11","0","0","0","1","0",1
"ACC_000564","2025-02-18 18:46:07+02","2025-08-18 19:46:07+03","VALIDATION","34.0591319444444444","17","5","12","0","0","0","0","0",1
"ACC_000446","2025-02-19 14:13:39+02","2025-08-19 15:13:39+03","VALIDATION","79.4586226851851852","15","8","7","0","0","0","1","1",1
"ACC_000600","2025-02-19 19:03:13+02","2025-08-19 20:03:13+03","VALIDATION","25.4267708333333333","32","21","11","0","0","0","0","0",0
"ACC_000436","2025-02-20 15:30:09+02","2025-08-20 16:30:09+03","VALIDATION","87.7494328703703704","29","18","11","0","0","0","0","0",1
"ACC_000444","2025-02-20 20:05:16+02","2025-08-20 21:05:16+03","VALIDATION","82.4353009259259259","28","20","8","0","0","0","1","1",0
"ACC_000461","2025-02-22 16:01:25+02","2025-08-22 17:01:25+03","VALIDATION","76.9996875000000000","27","16","11","0","0","0","0","0",1
"ACC_000595","2025-02-23 13:36:45+02","2025-08-23 14:36:45+03","VALIDATION","32.9206944444444444","20","6","14","0","0","0","0","0",1
"ACC_000505","2025-02-24 06:50:22+02","2025-08-24 07:50:22+03","VALIDATION","64.7136689814814815","25","18","7","0","0","0","1","0",1
"ACC_000584","2025-02-25 06:46:58+02","2025-08-25 07:46:58+03","VALIDATION","34.6135069444444444","20","11","9","0","0","0","0","0",0
"ACC_000488","2025-02-26 17:27:49+02","2025-08-26 18:27:49+03","VALIDATION","75.2120370370370370","28","18","3","3","4","0","2","2",1
"ACC_000477","2025-02-26 17:29:13+02","2025-08-26 18:29:13+03","VALIDATION","75.7931944444444444","36","28","8","0","0","0","0","0",1
"ACC_000611","2025-02-28 07:21:32+02","2025-08-28 08:21:32+03","VALIDATION","30.6220486111111111","17","4","13","0","0","0","0","0",1
"ACC_000393","2025-03-01 11:39:56+02","2025-09-01 12:39:56+03","VALIDATION","106.6733912037037037","24","13","11","0","0","0","0","0",1
"ACC_000384","2025-03-01 16:08:45+02","2025-09-01 17:08:45+03","VALIDATION","115.6684953703703704","22","17","5","0","0","0","1","0",1
"ACC_000420","2025-03-01 21:49:26+02","2025-09-01 22:49:26+03","VALIDATION","97.0964120370370370","25","11","14","0","0","0","0","0",1
"ACC_000480","2025-03-02 17:51:59+02","2025-09-02 18:51:59+03","VALIDATION","77.6555324074074074","30","17","13","0","0","0","0","0",0
"ACC_000625","2025-03-05 04:23:55+02","2025-09-05 05:23:55+03","VALIDATION","30.7074768518518519","18","11","7","0","0","0","0","0",1
"ACC_000602","2025-03-05 14:23:44+02","2025-09-05 15:23:44+03","VALIDATION","38.6508796296296296","22","9","13","0","0","0","1","0",1
"ACC_000605","2025-03-10 02:11:46+02","2025-09-10 03:11:46+03","VALIDATION","40.7908449074074074","20","9","11","0","0","0","0","0",1
"ACC_000702","2025-03-13 04:32:23+02","2025-09-13 05:32:23+03","VALIDATION","14.0284953703703704","16","4","12","0","0","0","0","0",1
"ACC_000671","2025-03-14 02:52:46+02","2025-09-14 03:52:46+03","VALIDATION","24.3591319444444444","25","6","19","0","0","0","0","0",1
"ACC_000416","2025-03-15 00:26:45+02","2025-09-15 01:26:45+03","VALIDATION","112.5889930555555556","26","19","7","0","0","0","1","0",1
"ACC_000516","2025-03-15 03:16:22+02","2025-09-15 04:16:22+03","VALIDATION","82.6288773148148148","31","21","10","0","0","0","1","0",1
