number,source,dataset,path,format,rows,sha256,source_version,evidence_class
23,core_product,invitation_outcome_events,raw/core_product/23_invitation_outcome_events.csv,csv,1151,9e59b673036975ab7d27af33126e9446ce32ed6fca169cd1a2f4f4cd7ed31236,original_raw_package,Original full raw package; unchanged by correction evidence
24,core_product,member_registration_success_events,raw/core_product/24_member_registration_success_events.csv,csv,15000,1f9d1ac2989eb142aa776ae8a4f072e850909bf831b2a0427c05e55bf218037d,original_raw_package,Original full raw package; unchanged by correction evidence
25,core_product,member_state_history,raw/core_product/25_member_state_history.csv,csv,15581,f8938c5c33a9c69f5193ef46d0d957193fe2e3fbd0182fc8cf0743bdd0b30a9a,original_raw_package,Original full raw package; unchanged by correction evidence
26,core_product,member_profile_update_events,raw/core_product/26_member_profile_update_events.csv,csv,3181,c467fafed14c0bb5acf2a1eb7e0520800cebdfd212a63871ee4db46b45aec1de,original_raw_package,Original full raw package; unchanged by correction evidence
27,core_product,comment,raw/core_product/27_comment.csv,csv,18000,3dd024b9502d2e3a19c16a1c2b90a3e10d3d35099bb769c7eca3491293b852d5,original_raw_package,Original full raw package; unchanged by correction evidence
28,core_product,comment_lifecycle_events,raw/core_product/28_comment_lifecycle_events.csv,csv,18809,00f9571fcfc597a4f22240efbe06bd8bf5fbf89f407e4d7fe6e2f33995c0b67b,original_raw_package,Original full raw package; unchanged by correction evidence
29,core_product,rating,raw/core_product/29_rating.csv,csv,12000,3bf5d45e336b95c0e21c6f39bf04d9c7d0a4ddb9bbbca358162ffa2a05ae1490,original_raw_package,Original full raw package; unchanged by correction evidence
30,core_product,rating_lifecycle_events,raw/core_product/30_rating_lifecycle_events.csv,csv,13809,4312acd0c63ad0f5b199ea0577410608fdf2b931e7ac3665f5eb5c3c4e757a78,original_raw_package,Original full raw package; unchanged by correction evidence
31,event_tracking,product_behaviour_events,raw/event_tracking/31_product_behaviour_events.jsonl,jsonl,450900,dcb3ccf3663e46932f1efb0f1054a4d3c1b251044080306faeee99096db84f6a,original_raw_package,Original full raw package; unchanged by correction evidence
32,event_tracking,visitor,raw/event_tracking/32_visitor.csv,csv,90000,eea66819486e70985a64bd0215751d1cc7ff1913c0f9f8c090d124e7713a4c8f,original_raw_package,Original full raw package; unchanged by correction evidence
33,event_tracking,audience_session,raw/event_tracking/33_audience_session.csv,csv,240000,5c5904f871f495403e448b00929bc6286cbe1b4344d606c2cab27e124ce21fd3,original_raw_package,Original full raw package; unchanged by correction evidence
34,event_tracking,session_lifecycle_events,raw/event_tracking/34_session_lifecycle_events.jsonl,jsonl,480480,718fb1a3f2b575194a460f688fa66cd4fdd90f28dd4ade0f83d6cc2166b17668,original_raw_package,Original full raw package; unchanged by correction evidence
35,event_tracking,session_traffic_attribution,raw/event_tracking/35_session_traffic_attribution.csv,csv,240000,d7cb5283290db48ab5a053f9e37c98acbca4986e3b5c562c06fcca5068351298,original_raw_package,Original full raw package; unchanged by correction evidence
36,event_tracking,visitor_member_linkage,raw/event_tracking/36_visitor_member_linkage.csv,csv,6150,b50b72f05780d8aa27b1c3a54f33c5ff79403a16faac45123f806794e5abbbaa,corrected_override,Part 8 audience correction
37,event_tracking,session_member_attribution,raw/event_tracking/37_session_member_attribution.csv,csv,3482,ed6f5ee2095a101a8b14b1134b4f9e81455b98686c251a9c2117d35a3a0767e3,corrected_override,Part 8 audience correction
38,event_tracking,audience_interaction_events,raw/event_tracking/38_audience_interaction_events.jsonl,jsonl,1102200,22b2818ada96665ab7db9ba23d04339f7c2e39a6c977995502fc26f490f70383,original_raw_package,Original full raw package; unchanged by correction evidence
39,event_tracking,signup_journey_context,raw/event_tracking/39_signup_journey_context.csv,csv,3300,ab56f9ed457fb92cbc1c053b9fd35e4ab24124e19ce06f1be22fa504b76fb23f,original_raw_package,Original full raw package; unchanged by correction evidence
40,event_tracking,signup_journey_events,raw/event_tracking/40_signup_journey_events.jsonl,jsonl,3303,0c4accacadb10e79f88962844e4d095ea1b9a9ef40552ad485a29a8537d699a5,original_raw_package,Original full raw package; unchanged by correction evidence
41,event_tracking,acquisition_source_attribution,raw/event_tracking/41_acquisition_source_attribution.csv,csv,3300,55e99f62a484cf7551a81d8dda3298294a1517d337252d81946711ec0735ee14,original_raw_package,Original full raw package; unchanged by correction evidence
42,event_tracking,membership_behaviour_events,raw/event_tracking/42_membership_behaviour_events.jsonl,jsonl,55302,7b331c50925654c46734ded1d8a18dfe521792d6caa876e67eb0eb3f97c748c3,original_raw_package,Original full raw package; unchanged by correction evidence
43,billing_payment,plan_catalog,raw/billing_payment/43_plan_catalog.csv,csv,3,aab9ff100e785ff073923c38163c6ca216f4ff6308134ce3e0f1f85f53af087a,original_raw_package,Original full raw package; unchanged by correction evidence
44,billing_payment,subscription_plan_period,raw/billing_payment/44_subscription_plan_period.csv,csv,2786,097136b23170bed186c1b591565c7332fce91db7ea7b1a5161d9b4a87af0fea4,original_raw_package,Original full raw package; unchanged by correction evidence
45,billing_payment,billing_cycle_period,raw/billing_payment/45_billing_cycle_period.csv,csv,729,389a7bd12240df1aadbe24eee6814d58c3205fcdbb9e5f1202b50633aa4fb44b,corrected_override,Part 6 v1.1 correction patch
46,billing_payment,subscription_lifecycle_events,raw/billing_payment/46_subscription_lifecycle_events.csv,csv,3535,3fc7d1e9aab73ba1c58ecd408317c2a9af9c2042769ed06cf3d655f3adfec4a4,original_raw_package,Original full raw package; unchanged by correction evidence
47,billing_payment,payment_refund_activity_events,raw/billing_payment/47_payment_refund_activity_events.csv,csv,3775,0a32a3248b0e04d9eedea546606ecbd378d6f52515e69504a2b0acafb413a5f7,original_raw_package,Original full raw package; unchanged by correction evidence
48,support_ticketing,support_request,raw/support_ticketing/48_support_request.csv,csv,1200,b7f3d1893022fe666c57344a301d1306d3d6f17a9ae116b301a6f653337a0c87,original_raw_package,Original full raw package; unchanged by correction evidence
49,support_ticketing,support_lifecycle_events,raw/support_ticketing/49_support_lifecycle_events.csv,csv,2295,e762de0ebc1f35880955b37e86f6116ee0e199c8826416e0b335e913caaa8b92,original_raw_package,Original full raw package; unchanged by correction evidence
